<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: SIS_P0_Audit_Queue.csv>index,sis_lit_id,study,source_status,primary_program_registry,cross_cutting_registry,capability_registry,primary_estimand_registry,claim_registry,id_transport_registry,evidence_role_registry,source_class,p0_qualification_status,audit_priority,final_claim_level,final_primary_program,transport_final
0,SIS-LIT-001,WHALE: A Simple Recipe for Joint Harness-Weight Optimization,arXiv:2609.00196 (preprint),SCF,CSCI,MI; BT,MECHANISM_INTERACTION_EFFECT,CL1,`I1` / `T1`,Mechanism support — Joint harness/model optimization; supports system–component interaction; no Core change.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
1,SIS-LIT-002,JIT-Agent: Scaling Harness Intelligence via Just-in-Time Harness Evolution,arXiv:2608.25593 (preprint),ASR,SCF,DR; MI,ACTION_SELECTION_EFFECT,CL1,`I1` / `T1`,Framework/mechanism support — Adaptive runtime harness selection; supports endogenous regulation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
2,SIS-LIT-003,AutoSaddler: Automatic Harness Optimization with Durable Updates from Agent Execution Traces,arXiv:2608.23041 (preprint),P2/SDR,ASR,TD; MI; EG,RECOVERY_EFFECT,CL1→CL2 candidate,`I1` / `T1`,Recovery mechanism — Trace diagnosis→durable repair→validation; useful recovery fixture.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
3,SIS-LIT-004,DCFA: Dual-view Causal-inspired Attribution for Failure Reasoning in LLM-based Multi-agent Systems,arXiv:2609.04749 (preprint),P2/SDR,ASR,ID; IA,PROPAGATION_EFFECT,CL1→CL2 candidate,`I1/I2` / `T0`,Attribution mechanism — Supports dependency-aware attribution; causal language should remain bounded by intervention evidence.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
4,SIS-LIT-005,LLM-as-a-Judge Is Not an Oracle: Why Self-Improving Agents Need Deterministic Guardrails,arXiv:2609.02246 (preprint),SCF,—,MEAS; EG,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Negative/boundary evidence — Evaluator reliability is a system mechanism; supports evidence-independence and deterministic guardrails.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
5,SIS-LIT-006,From Rollouts to Recipes: Self-Contained Post-Training for LLMs,arXiv:2609.01422; EMNLP 2026,ASR,CSCI,DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T1`,Regulation mechanism — Routes among training operators; supports policy-selection framing.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
6,SIS-LIT-007,Adaptive Influence Graphs for Failure Attribution in Multi-Agent Systems,arXiv:2608.24361 (preprint),P2/SDR,—,TD; ID; IA,PROPAGATION_EFFECT,CL1,`I1` / `T0`,Attribution instrument — Influence-graph representation for dynamic attribution.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
7,SIS-LIT-008,MAPRO: Recasting Multi-Agent Prompt Optimization as Maximum a Posteriori Inference,Findings EACL 2026,SCF,—,MI; IA,MECHANISM_INTERACTION_EFFECT,CL1,`I1` / `T0`,Mechanism support — Coupled prompt optimization; supports interaction-aware optimization rather than isolated edits.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
8,SIS-LIT-009,"Don’t Generate, Classify! Low-Latency Prompt Optimization with Structured Complementary Prompt",EACL 2026 Long,SCF,—,MI,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Representation mechanism — Structured prompt fields as intervention representation; implementation evidence.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
9,SIS-LIT-010,Control-Data Flow Separation: Stable Prompt Optimization in Multi-Agent LLMs,EMNLP 2026 Findings / preprint,SCF,—,MI; EG,CAUSAL_MECHANISM_EFFECT,CL1→CL2 candidate,`I1` / `T0`,Mechanism support — Typed control vs mutable data flow; strong externalization hypothesis for SCF.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
10,SIS-LIT-011,Polished but Unresolved: Identifying Late-Stage Pressure States in Long-Horizon Tool-Use Agents,EMNLP 2026 / preprint,P2/SDR,—,TD; MEAS,LONG_HORIZON_EFFECT,CL1,`I1` / `T0`,Failure-state measurement — Premature termination/unresolved constraints; supports terminal-state dynamics.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
11,SIS-LIT-012,"τ^τ-Bench: An Environment for End-To-End, Realistic Agent Construction",2026 benchmark preprint,SCF,BGT,MEAS; BT,CAPABILITY_FRONTIER_SHIFT,CL0→CL1,`I0/I1` / `T1`,"Benchmark instrument — Deployment/artifact-level evaluation; useful Tier-2/3 fixture, not mechanism evidence.",PREPRINT,PRIMARY_PENDING_VERIFICATION,C_DESCRIPTIVE_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
12,SIS-LIT-013,Bilevel Coordinated Reflection: A Game-Theoretic Approach to Multi-Agent LLM Systems,2026 preprint,ASR,P2/SDR,DR; EG,POLICY_VALUE,CL1,`I1` / `T0`,Regulation/guarding mechanism — Grounded-gated reflective update; reflection should not self-authorize.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
13,SIS-LIT-014,Where Reliability Lives: Experimental Localisation of Behavioural Properties in an Agent System,2026 preprint,SCF,P2/SDR,MI; IA,ORGANIZATION_EFFECT,CL1→CL2 candidate,`I2` / `T0`,Mechanism/boundary evidence — Reliability can reside in boundaries/institutions/world rather than model cognition.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
14,SIS-LIT-015,TruthInsightBench: Evidence-Grounded Benchmark for Automated Evaluation of Open-Ended Scientific Discovery Agents,2026 benchmark preprint,SCF,—,MEAS; EG,CAPABILITY_FRONTIER_SHIFT,CL0→CL1,`I0` / `T0`,Benchmark instrument — Evidence/robustness/falsifiability dimensions for open-ended outcomes.,PREPRINT,PRIMARY_PENDING_VERIFICATION,C_DESCRIPTIVE_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
15,SIS-LIT-016,Meta^n: Recursive Self-Improvement through Emergent Depth,2026 preprint,ASR,P2/SDR,DR; TD,POLICY_VALUE,CL1,`I1` / `T0`,Adaptation mechanism — Recursive meta-state growth; useful recursive-regulation fixture.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
